"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"2","0.615014","192.168.1.56","224.0.0.251","MDNS","581","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-3.local PTR, cache flush Android-3.local PTR, cache flush Android-3.local A, cache flush 192.168.1.56 AAAA, cache flush fe80::3051:e0ff:fe61:a710 NSEC, cache flush {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local NSEC, cache flush 56.1.168.192.in-addr.arpa NSEC, cache flush 0.1.7.A.1.6.E.F.F.F.0.E.1.5.0.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-3.local"
"3","0.615914","fe80::3051:e0ff:fe61:a710","ff02::fb","MDNS","601","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-3.local PTR, cache flush Android-3.local PTR, cache flush Android-3.local A, cache flush 192.168.1.56 AAAA, cache flush fe80::3051:e0ff:fe61:a710 NSEC, cache flush {""nm"":""Redmi Note 7"",""as"":""[8193, 8194]"",""ip"":""56""}._mi-connect._udp.local NSEC, cache flush 56.1.168.192.in-addr.arpa NSEC, cache flush 0.1.7.A.1.6.E.F.F.F.0.E.1.5.0.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-3.local"
"4","0.615914","192.168.1.59","224.0.0.251","MDNS","288","Standard query response 0x0000 PTR, cache flush Android.local PTR, cache flush Android.local A, cache flush 192.168.1.59 AAAA, cache flush fe80::cc2a:47ff:fefd:3458 NSEC, cache flush 59.1.168.192.in-addr.arpa NSEC, cache flush 8.5.4.3.D.F.E.F.F.F.7.4.A.2.C.C.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local"
"5","0.616926","fe80::cc2a:47ff:fefd:3458","ff02::fb","MDNS","308","Standard query response 0x0000 PTR, cache flush Android.local PTR, cache flush Android.local A, cache flush 192.168.1.59 AAAA, cache flush fe80::cc2a:47ff:fefd:3458 NSEC, cache flush 59.1.168.192.in-addr.arpa NSEC, cache flush 8.5.4.3.D.F.E.F.F.F.7.4.A.2.C.C.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local"
"6","0.921820","192.168.1.4","224.0.0.251","MDNS","79","Standard query 0x0000 PTR _sengled._udp.local, ""QM"" question"
"7","0.921820","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"8","2.457555","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"9","3.379251","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"10","4.300829","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"11","4.915525","192.168.1.4","224.0.0.251","MDNS","79","Standard query 0x0000 PTR _sengled._udp.local, ""QM"" question"
"12","5.234402","fe80::8fd1:3600:8606:118","fe80::1213:31ff:feee:612a","DNS","93","Standard query 0xa400 A dyn.keepa.com"
"13","5.246190","fe80::1213:31ff:feee:612a","fe80::8fd1:3600:8606:118","DNS","171","Standard query response 0xa400 A dyn.keepa.com CNAME keepa.com A 157.90.91.75 A 157.90.91.74 A 157.90.91.71 A 157.90.179.245"
"14","5.247087","192.168.1.60","157.90.91.75","TCP","66","58029  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15","5.304251","157.90.91.75","192.168.1.60","TCP","66","443  >  58029 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1452 SACK_PERM WS=128"
"16","5.304346","192.168.1.60","157.90.91.75","TCP","54","58029  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0"
"17","5.304873","192.168.1.60","157.90.91.75","TLSv1.3","665","Client Hello"
"18","5.338679","192.168.1.60","224.0.0.251","MDNS","499","Standard query response 0x0000 TXT, cache flush PTR _nvstream_dbd._tcp.local PTR 3.26.0.131-LAPTOP-ENRY.8bedcd81-d8dd-4e58-9650-908d6594b2cc._nvstream_dbd._tcp.local SRV, cache flush 0 0 47989 Laptop-Enry.local PTR, cache flush Laptop-Enry.local PTR, cache flush Laptop-Enry.local A, cache flush 192.168.1.60 AAAA, cache flush fe80::8fd1:3600:8606:118 NSEC, cache flush 3.26.0.131-LAPTOP-ENRY.8bedcd81-d8dd-4e58-9650-908d6594b2cc._nvstream_dbd._tcp.local NSEC, cache flush 60.1.168.192.in-addr.arpa NSEC, cache flush 8.1.1.0.6.0.6.8.0.0.6.3.1.D.F.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Laptop-Enry.local OPT"
"19","5.362456","157.90.91.75","192.168.1.60","TLSv1.3","314","Server Hello, Change Cipher Spec, Application Data, Application Data"
"20","5.362914","192.168.1.60","157.90.91.75","TLSv1.3","134","Change Cipher Spec, Application Data"
"21","5.363215","192.168.1.60","157.90.91.75","TLSv1.3","746","Application Data"
"22","5.419224","157.90.91.75","192.168.1.60","TLSv1.3","349","Application Data"
"23","5.423539","fe80::8fd1:3600:8606:118","fe80::1213:31ff:feee:612a","DNS","109","Standard query 0x569f A wpad.homenet.telecomitalia.it"
"24","5.424214","fe80::8fd1:3600:8606:118","fe80::1213:31ff:feee:612a","DNS","109","Standard query 0xd18c A wpad.homenet.telecomitalia.it"
"25","5.425850","157.90.91.75","192.168.1.60","TLSv1.3","257","Application Data"
"26","5.425850","157.90.91.75","192.168.1.60","TLSv1.3","78","Application Data"
"27","5.425919","192.168.1.60","157.90.91.75","TCP","54","58029  >  443 [ACK] Seq=1384 Ack=783 Win=131328 Len=0"
"28","5.425993","157.90.91.75","192.168.1.60","TLSv1.3","108","Application Data"
"29","5.425993","157.90.91.75","192.168.1.60","TCP","1506","443  >  58029 [ACK] Seq=837 Ack=1384 Win=64128 Len=1452 [TCP segment of a reassembled PDU]"
"30","5.425993","157.90.91.75","192.168.1.60","TCP","1506","443  >  58029 [PSH, ACK] Seq=2289 Ack=1384 Win=64128 Len=1452 [TCP segment of a reassembled PDU]"
"31","5.426027","192.168.1.60","157.90.91.75","TCP","54","58029  >  443 [ACK] Seq=1384 Ack=3741 Win=132096 Len=0"
"32","5.426187","157.90.91.75","192.168.1.60","TLSv1.3","762","Application Data"
"33","5.426187","157.90.91.75","192.168.1.60","TLSv1.3","1233","Application Data"
"34","5.426187","fe80::1213:31ff:feee:612a","fe80::8fd1:3600:8606:118","DNS","109","Standard query response 0x569f No such name A wpad.homenet.telecomitalia.it"
"35","5.426222","192.168.1.60","157.90.91.75","TCP","54","58029  >  443 [ACK] Seq=1384 Ack=5628 Win=132096 Len=0"
"36","5.427660","192.168.1.60","157.90.91.75","TLSv1.3","82","Application Data"
"37","5.430793","fe80::1213:31ff:feee:612a","fe80::8fd1:3600:8606:118","DNS","109","Standard query response 0xd18c No such name A wpad.homenet.telecomitalia.it"
"38","5.451406","192.168.1.60","157.90.91.75","TCP","66","58030  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"39","5.511935","157.90.91.75","192.168.1.60","TCP","66","443  >  58030 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1452 SACK_PERM WS=128"
