"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.3","192.168.1.255","UDP","86","57621  >  57621 Len=44"
"2","0.220015","fe80::1213:31ff:feee:612a","fe80::8fd1:3600:8606:118","ICMPv6","86","Neighbor Solicitation for fe80::8fd1:3600:8606:118 from 10:13:31:ee:61:2a"
"3","0.220059","fe80::8fd1:3600:8606:118","fe80::1213:31ff:feee:612a","ICMPv6","86","Neighbor Advertisement fe80::8fd1:3600:8606:118 (sol, ovr) is at 40:23:43:60:39:1f"
"4","2.414461","192.168.1.60","20.185.212.106","TCP","55","55388  >  443 [ACK] Seq=1 Ack=1 Win=517 Len=1 [TCP segment of a reassembled PDU]"
"5","2.414474","192.168.1.60","20.54.37.64","TCP","55","55386  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"6","2.457887","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"7","2.465830","20.54.37.64","192.168.1.60","TCP","66","443  >  55386 [ACK] Seq=1 Ack=2 Win=7970 Len=0 SLE=1 SRE=2"
"8","2.525814","20.185.212.106","192.168.1.60","TCP","66","443  >  55388 [ACK] Seq=1 Ack=2 Win=2053 Len=0 SLE=1 SRE=2"
"9","2.845351","192.168.1.60","20.185.212.106","TCP","66","55413  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"10","2.851722","fe80::8fd1:3600:8606:118","fe80::1213:31ff:feee:612a","DNS","109","Standard query 0xa770 A wpad.homenet.telecomitalia.it"
"11","2.854253","fe80::1213:31ff:feee:612a","fe80::8fd1:3600:8606:118","DNS","109","Standard query response 0xa770 No such name A wpad.homenet.telecomitalia.it"
"12","2.958575","20.185.212.106","192.168.1.60","TCP","66","443  >  55413 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"13","2.958678","192.168.1.60","20.185.212.106","TCP","54","55413  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"14","2.959219","192.168.1.60","20.185.212.106","TLSv1.2","571","Client Hello"
"15","3.004504","192.168.1.60","20.185.212.106","TCP","54","55388  >  443 [FIN, ACK] Seq=2 Ack=1 Win=517 Len=0"
"16","3.075075","20.185.212.106","192.168.1.60","TCP","1506","443  >  55413 [ACK] Seq=1 Ack=518 Win=525056 Len=1452 [TCP segment of a reassembled PDU]"
"17","3.075075","20.185.212.106","192.168.1.60","TCP","1506","443  >  55413 [ACK] Seq=1453 Ack=518 Win=525056 Len=1452 [TCP segment of a reassembled PDU]"
"18","3.075147","192.168.1.60","20.185.212.106","TCP","54","55413  >  443 [ACK] Seq=518 Ack=2905 Win=132352 Len=0"
"19","3.075687","20.185.212.106","192.168.1.60","TCP","1506","443  >  55413 [ACK] Seq=2905 Ack=518 Win=525056 Len=1452 [TCP segment of a reassembled PDU]"
"20","3.075687","20.185.212.106","192.168.1.60","TCP","1506","443  >  55413 [ACK] Seq=4357 Ack=518 Win=525056 Len=1452 [TCP segment of a reassembled PDU]"
"21","3.075725","192.168.1.60","20.185.212.106","TCP","54","55413  >  443 [ACK] Seq=518 Ack=5809 Win=132352 Len=0"
"22","3.075765","20.185.212.106","192.168.1.60","TLSv1.2","324","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"23","3.086013","192.168.1.60","20.185.212.106","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"24","3.158713","20.185.212.106","192.168.1.60","TCP","54","443  >  55388 [ACK] Seq=1 Ack=3 Win=2053 Len=0"
"25","3.198313","20.185.212.106","192.168.1.60","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"26","3.198770","192.168.1.60","20.185.212.106","TCP","1494","55413  >  443 [ACK] Seq=676 Ack=6130 Win=132096 Len=1440 [TCP segment of a reassembled PDU]"
"27","3.198770","192.168.1.60","20.185.212.106","TCP","1494","55413  >  443 [ACK] Seq=2116 Ack=6130 Win=132096 Len=1440 [TCP segment of a reassembled PDU]"
"28","3.198770","192.168.1.60","20.185.212.106","TLSv1.2","81","Application Data"
"29","3.198869","192.168.1.60","20.185.212.106","TLSv1.2","98","Application Data"
"30","3.311096","20.185.212.106","192.168.1.60","TCP","54","443  >  55413 [ACK] Seq=6130 Ack=3627 Win=525568 Len=0"
"31","3.315775","20.185.212.106","192.168.1.60","TLSv1.2","375","Application Data"
"32","3.363766","192.168.1.60","20.185.212.106","TCP","54","55413  >  443 [ACK] Seq=3627 Ack=6451 Win=131584 Len=0"
"33","3.686467","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"34","4.084221","192.168.1.60","20.185.212.106","TCP","1494","55413  >  443 [ACK] Seq=3627 Ack=6451 Win=131584 Len=1440 [TCP segment of a reassembled PDU]"
"35","4.084221","192.168.1.60","20.185.212.106","TCP","1494","55413  >  443 [ACK] Seq=5067 Ack=6451 Win=131584 Len=1440 [TCP segment of a reassembled PDU]"
"36","4.084221","192.168.1.60","20.185.212.106","TLSv1.2","73","Application Data"
"37","4.197114","20.185.212.106","192.168.1.60","TCP","54","443  >  55413 [ACK] Seq=6451 Ack=6507 Win=525568 Len=0"
"38","4.242086","20.185.212.106","192.168.1.60","TCP","54","443  >  55413 [ACK] Seq=6451 Ack=6526 Win=525568 Len=0"
"39","4.608091","Technico_ee:61:2a","Broadcast","ARP","42","Who has 192.168.1.19? Tell 192.168.1.1"
"40","5.001568","192.168.1.60","192.168.1.4","TCP","54","55410  >  8009 [FIN, ACK] Seq=1 Ack=1 Win=513 Len=0"
"41","5.313932","192.168.1.60","192.168.1.4","TCP","54","[TCP Retransmission] 55410  >  8009 [FIN, ACK] Seq=1 Ack=1 Win=513 Len=0"
"42","5.424832","192.168.1.60","108.177.126.188","TCP","55","55402  >  5228 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"43","5.615788","192.168.1.4","192.168.1.60","TCP","190","8009  >  55410 [PSH, ACK] Seq=1 Ack=2 Win=1386 Len=136 [TCP segment of a reassembled PDU]"
"44","5.615788","192.168.1.4","192.168.1.60","TCP","85","8009  >  55410 [FIN, PSH, ACK] Seq=137 Ack=2 Win=1386 Len=31 [TCP segment of a reassembled PDU]"
"45","5.615860","192.168.1.60","192.168.1.4","TCP","54","55410  >  8009 [RST, ACK] Seq=2 Ack=137 Win=0 Len=0"
"46","5.628437","192.168.1.60","192.168.1.4","TCP","54","55411  >  8009 [FIN, ACK] Seq=1 Ack=1 Win=513 Len=0"
